Image_ID,en_caption
figure01-01A,Color image of the fundus of the right eye in a normal person
figure01-01B,Color image of the fundus of the left eye in a normal person. Same person as Figure 1-1A
figure01-02A,Color image of the fundus of the right eye in a normal child
figure01-02B,Color image of the fundus of the left eye in a normal child. Same person as Figure 1-2A
figure01-03A,Color image of the fundus of the right eye in a normal person. Leopard-shaped fundus
figure01-03B,Color image of the fundus of the left eye in a normal person. Leopard-shaped fundus. Same person as Figure 1-3A
figure01-05A,Color image of the fundus of the left eye in a normal person
figure02-01A,"Optic papillary dysplasia (left eye). Compared to the right eye, the left optic papilla is approximately half the size of the contralateral one, pale in color, with normal retinal vascularity"
figure02-01B,"Optic papillary dysplasia (left eye). Compared to the right eye, the left optic papilla is approximately half the size of the contralateral one, pale in color, with normal retinal vascularity"
figure02-02A,"The optic papillae are tilted and hypoplastic in both eyes. The optic papillae of both eyes are markedly small, poorly defined, and tilted superiorly temporally."
figure02-02B,"The optic papillae are tilted and hypoplastic in both eyes. The optic papillae of both eyes are markedly small, poorly defined, and tilted superiorly temporally."
figure02-03A,"Color fundus image of congenital optic papillary notch with retinal detachment in the left eye. The color image shows a temporal notch in the optic papilla, peripapillary pigmentation, and retinal detachment in the macula and below the optic disc."
figure02-04A,Fundus color image of a congenital optic disc notch with retinal detachment in the left eye. It shows a temporal notch of the optic disk with surrounding pigmentation and a retinal detachment above the macula of the optic disk.
figure02-05A,Funduscopic color image of congenital optic disc notch with retinal detachment in the right eye. It shows a temporal notch in the optic disc with peripheral pigmentation and retinal detachment at the posterior pole.
figure02-06A,Fundus color image of a vitreous wart (buried) of the left optic papilla. The optic papilla is seen to be elevated nasally and poorly demarcated
figure02-07A,Fundus color image of a congenital optic papillary vitreous wart (dominant). It shows a mulberry-like white gelatinous lesion visible on the vascular nasal side of the optic papilla surface.
figure02-08A,preoptic papillary vascular collaterals
figure02-09A,"Pseudo optic papillitis. The patient has small, reddish-colored optic papillae in both eyes, crowded optic discs, and no visual cups"
figure02-09B,"Pseudo optic papillitis. The patient has small, reddish-colored optic papillae in both eyes, crowded optic discs, and no visual cups"
figure02-10A,Congenital large optic cups (both eyes)
figure02-10B,Congenital large optic cups (both eyes)
figure02-11A,Congenital Optic Disc Defect. A distinct depression (defect) is seen to form in the scleral canal below the optic papilla
figure02-12,Congenital transverse optic disk (right eye). The optic papilla can be seen in a very distinct transverse oval shape
figure02-13,"Petunia syndrome. The optic disc and its surrounding sclera are seen to be concave backward together, and from the bottom of the concavity the disc can still be seen to be roughly normal in shape (which is the fundamental point of differentiation from optic papillary defects), with glial tissue proliferation within the concavity"
figure02-14A,Fundus color image of petunia syndrome (left eye)
figure02-15A,Fundus color image of familial vitreous warts in both eyes. A large number of yellowish-white punctate lesions in the posterior pole are seen
figure02-15B,Fundus color image of familial vitreous warts in both eyes. A large number of yellowish-white punctate lesions in the posterior pole are seen
figure02-16,"Congenital retinal pigment epithelial hypertrophy. Hypertrophic hyperplasia of the retinal pigment epithelium can be seen, with an ink-stain-like distribution and well-defined borders"
figure02-17,Congenital hypertrophy of the retinal pigment epithelium. Isolated
figure02-18,Congenital hypertrophy of the retinal pigment epithelium. Isolated. Well-defined but with irregular margins and uneven pigmentation within them
figure02-19A,"Congenital retinal pigment epithelial hypertrophy fundus color in the right eye. Isolated, well defined"
figure02-20,The retina has myelinated nerve fibers. Densely distributed around the retinal papilla
figure02-21,"Retina with myelinated nerve fibers. Extensively myelinated nerve fibers are seen in the retina, which are arranged in perfect alignment with the nerve fiber alignment and do not cross the horizontal line"
figure02-22A,Myelinated nerve fibers in the retina of the left eye in funduscopic color along the periphery of the optic papilla in a feathery arrangement
figure02-23,Retinal myelinated nerve fibers. Radially arranged retinal myelinated nerve fibers are seen around the retinal inferotemporal vein
