Image_ID,en_caption
figure01-05B,Fundus image of the left eye without ruddy light in a normal person. Same person as Figure 1-5A
figure01-05C,Autofluorescence image of the blue fundus of a normal human left eye. Same person as Figures 1-5B
figure01-05D,Pre-FFA arterial image of the left eye of a normal person. Same person as Figures 1-5C
figure01-05E,FFA arterial phase image of the left eye of a normal person. Same person as Figures 1-5D
figure01-05F,Late FFA image of the left eye of a normal person. Same person as Figures 1-5E
figure01-06,"Pre-FFA arterial (choroidal phase) in the left eye of a normal person. Choroidal background fluorescence, optic papillary fluorescence, and ciliary retinal artery filling are seen"
figure01-07A,FFA arterial phase in the right eye of a normal person. The retinal arteries are seen to begin filling
figure01-07B,"FFA arteriovenous phase in the right eye of a normal person. For the same eye as Figure 1-7A, characteristic venous laminar flow is seen"
figure01-07C,"FFA venous phase in the right eye of a normal person. For Figure 1-7B same same eye, complete filling of the vein is seen"
figure01-07D,"Late FFA fluorescence in the right eye of a normal person. For the same eye as Figure 1-7C, a gradual decrease in venous fluorescence is seen. Halo fluorescence around the optic papilla is evident"
figure01-08A,"ICGA of the right eye of a normal person, showing choroidal artery filling"
figure01-08B,"ICGA of the right eye in normal subjects. same eye as Fig. 1-8A, showing choroidal arterial filling"
figure01-09A,Vortex vein shown by ICGA in normal subjects
figure01-09B,Vortex vein shown by ICGA in normal subjects
figure02-03B,"FFA51 sec 5 image of congenital optic papillary minor recess with retinal detachment in the left eye. Same patient as Figs. 2-3A. FFA shows pigment-masked fluorescence in the notochord, insignificant fluorescence leakage, and slight fluorescence accumulation in the retinal detachment region"
figure02-04B,Congenital optic disc notch with retinal detachment without ruddy fundus image. Same patient as Figure 2-4A
figure02-05B,"Congenital optic disc microconcavity with retinal detachment in the right eye FFA 1 min 41 sec 3 image. Shows the beginning of fluorescence accumulation in the temporal notch of the optic disc, same patient as Figure 2-5A"
figure02-05C,"Congenital optic disc minor concavity with retinal detachment in the right eye FFA 21 min 20 sec 5 image. Shows significant fluorescence leakage in the temporal notch of the optic disc, same patient as Figure 2-5B"
figure02-06B,"Late FFA image of a vitreous wart (buried) in the left optic papilla. Shows slight fluorescence leakage, tissue staining"
figure02-15C,"Late image of familial vitreous warts FFA in both eyes. In the same patient as Figure 2-15A and B, a large number of punctate translucent fluorescent foci in the posterior pole are visible"
figure02-15D,"Late image of familial vitreous warts FFA in both eyes. In the same patient as Figure 2-15A and B, a large number of punctate translucent fluorescent foci in the posterior pole are visible"
figure02-19B,"Late FFA image of congenital retinal pigment epithelial hypertrophy in the right eye. In the same patient as Figure 2-19A, the lesion is seen to be fluorescently obscured with no fluorescence leakage"
figure02-22C,"Fundus autofluorescence image of myelinated nerve fibers in the retina of the left eye, same patient as Figure 2-22B"
figure02-11B,Congenital Optic Disc Defect: FFA Shows Slight Fluorescent Leakage at the Base of the Inferior Part of the Optic Papillary Defect
figure02-14B,FFA image of petunia syndrome (left eye)
figure02-33B,Ciliary retinal artery: FFA clearly shows the superior half of the retinal artery filling simultaneously with choroidal fluorescence for the ciliary retinal artery
figure02-37B,FFA image of a choroidal nevus in the right eye. the FFA shows fluorescent masking of the choroid with indistinct borders
figure02-07B,Autofluorescence image of a congenital optic papillary vitreous wart (dominant). Autofluorescence image of a dominant vitreous wart of the optic papilla showing marked enhancement of autofluorescence.
figure02-08B,"Anterior optic papillary vessels with early photographs of FFA showing abnormal vascularization above the optic papilla consisting of arteries and veins, but predominantly veins."
figure02-08C,"Anterior optic papillary vessels with FFA: Late photographs of FFA show abnormal vascularization above the optic papilla consisting of arterioles and venules, but predominantly venules."
figure02-22B,"Left retina with myelinated nerve fibers without ruddy fundus image, same patient as Figure 2-22A"
figure02-26C,"FFA, ICG 2 min 37 sec image of the right eye, temporal peripheral vascular abnormality is seen, no choroidal vascular abnormality is seen, same patient as Figure 2-26A and B"
figure02-26D,"FFA, ICG 2 min 37 sec image of the right eye, temporal peripheral vascular abnormality is seen, no choroidal vascular abnormality is seen, same patient as Figure 2-26A and B"
figure02-26E,"In the right eye, FFA, ICG 17 min 7 sec 1 image, temporal peripheral vascular occlusion, no perfusion zone formation, and no leakage from the choroidal vessels are seen, which is the same patient as in Figure 2-26C and D"
figure02-26F,"In the right eye, FFA, ICG 17 min 7 sec 1 image, temporal peripheral vascular occlusion, no perfusion zone formation, and no leakage from the choroidal vessels are seen, which is the same patient as in Figure 2-26C and D"
figure02-26G,"In the left eye, FFA and ICG 196 minute 10 image, temporal peripheral capillary dilatation and twisted deformation were seen, and no abnormality of choroidal vessels was seen, which was the same patient as Figure 2-26E and F"
figure02-26H,"In the left eye, FFA and ICG 196 minute 10 image, temporal peripheral capillary dilatation and twisted deformation were seen, and no abnormality of choroidal vessels was seen, which was the same patient as Figure 2-26E and F"
figure02-26I,"In the left eye, FFA, ICG 19:44:20 image, temporal peripheral capillary dilatation, twisting and distortion are seen, and no abnormality of the choroidal vessels are seen, which is the same patient as in Figures 2-26G and H"
figure02-26J,"In the left eye, FFA, ICG 19:44:20 image, temporal peripheral capillary dilatation, twisting and distortion are seen, and no abnormality of the choroidal vessels are seen, which is the same patient as in Figures 2-26G and H"
figure02-36B,"Choroidal hemorrhoids in the left eye without a ruddy fundus image. The color image shows a deep, ill-defined lesion that is not visible on the anamnesis fundus image."
figure03-02C,"Fundus autofluorescence image of the same patient as Fig. 3-2A and B. Significantly diminished autofluorescence near the vascular arch can be seen, and the weakly autofluorescent area of the macula surrounds a halo of strong autofluorescence"
figure03-02D,"Fundus autofluorescence image of the same patient as Fig. 3-2A and B. Significantly diminished autofluorescence near the vascular arch can be seen, and the weakly autofluorescent area of the macula surrounds a halo of strong autofluorescence"
figure03-02E,"Late FFA image, same patient as Fig. 3-2C and D, shows significant translucent fluorescence near the vascular arch"
figure03-02F,"Late FFA image, same patient as Fig. 3-2C and D, shows significant translucent fluorescence near the vascular arch"
figure03-03C,"In the same patient as Figures 3-3A and B, the FFA of the right eye is 9 minutes, 55 seconds, and 87 images, and the FFA of the left eye is 10 minutes, 25 seconds, and 40 images, which shows that most of the retinal pigment epithelium is atrophied, leaving only a solitary island in the macular region with translucent fluorescence"
figure03-03D,"In the same patient as Figures 3-3A and B, the FFA of the right eye is 9 minutes, 55 seconds, and 87 images, and the FFA of the left eye is 10 minutes, 25 seconds, and 40 images, which shows that most of the retinal pigment epithelium is atrophied, leaving only a solitary island in the macular region with translucent fluorescence"
figure03-03E,"With Figures 3-3C and D for the same patient, the right eye FFA 31 min 01 sec 0 image and the left eye FFA 32 min 18 sec 01 image, the soliton and osteoblast-like pigmentation in the macula appeared more pronounced"
figure03-03F,"With Figures 3-3C and D for the same patient, the right eye FFA 31 min 01 sec 0 image and the left eye FFA 32 min 18 sec 01 image, the soliton and osteoblast-like pigmentation in the macula appeared more pronounced"
figure03-03G,"In the same patient as in Figures 3-3E and F, the ICGA of the right eye is 11 minutes 15 seconds and 23 images, and the ICGA of the left eye is 10 minutes 53 seconds and 32 images, which shows that most of the fundus is exposed to the deep choroidal macrovascularization, and that only a solitary island of residual retinal pigment epithelium in the macular area shows translucent fluorescence"
figure03-03H,"In the same patient as in Figures 3-3E and F, the ICGA of the right eye is 11 minutes 15 seconds and 23 images, and the ICGA of the left eye is 10 minutes 53 seconds and 32 images, which shows that most of the fundus is exposed to the deep choroidal macrovascularization, and that only a solitary island of residual retinal pigment epithelium in the macular area shows translucent fluorescence"
figure03-03I,"With Figure 3-3G and H for the same patient, ICGA 31 min 10 sec 78 image for the right eye and ICGA 31 min 35 sec 07 image for the left eye, the choroidal vascular fluorescence is seen to be largely left empty and fading, and the see-through fluorescence of the macular silo is more pronounced"
figure03-03J,"With Figure 3-3G and H for the same patient, ICGA 31 min 10 sec 78 image for the right eye and ICGA 31 min 35 sec 07 image for the left eye, the choroidal vascular fluorescence is seen to be largely left empty and fading, and the see-through fluorescence of the macular silo is more pronounced"
figure03-06C,Fundus image without red light in both eyes
figure03-06D,Fundus image without red light in both eyes
